"mgCO2.7"	"mgCO2.14"	"difference"
"WYC32"	0.106666666666667	0.583333333333333	-0.476666666666667
"WYC33"	0.12	0.503333333333333	-0.383333333333333
"WYC34"	0.293333333333333	0.543333333333333	-0.25
"WYC35"	0.16	0.38	-0.22
"WYC36"	0.0766666666666667	0.456666666666667	-0.38
"WYC37"	0.193333333333333	0.39	-0.196666666666667
"WYC38"	0.323333333333333	0.53	-0.206666666666667
"WYC39"	0.236666666666667	0.363333333333333	-0.126666666666667
"WYC40"	0.356666666666667	0.346666666666667	0.01
"WYC41"	0.123333333333333	0.163333333333333	-0.04
"WYC42"	0.0666666666666667	0.0933333333333333	-0.0266666666666667
"WYC43"	0.203333333333333	0.346666666666667	-0.143333333333333
"WYD01"	0.5525	0.4025	0.15
"WYD02"	0.5175	0.6175	-0.0999999999999999
"WYD03"	0.55	0.6075	-0.0574999999999999
"WYD04"	0.4225	0.5125	-0.09
"WYD05"	0.3825	0.4775	-0.095
"WYD06"	0.113333333333333	0.18	-0.0666666666666667
"WYD07"	0.4775	0.5825	-0.105
"WYD08"	0.3775	0.47	-0.0925
"WYD09"	0.2	0.263333333333333	-0.0633333333333333
"WYD10"	0.4075	0.5725	-0.165
"WYD11"	0.4675	0.6375	-0.17
"WYD12"	0.36	0.5975	-0.2375
"WYM01"	0.373333333333333	0.733333333333333	-0.36
"WYM02"	0.23	0.233333333333333	-0.00333333333333335
"WYM03"	0.37	0.663333333333333	-0.293333333333333
"WYM04"	0.256666666666667	0.503333333333333	-0.246666666666667
"WYM05"	0.423333333333333	0.59	-0.166666666666667
"WYM06"	0.37	0.596666666666667	-0.226666666666667
"WYM07"	0.386666666666667	0.55	-0.163333333333333
"WYM08"	0.526666666666667	0.643333333333333	-0.116666666666667
"WYM09"	0.466666666666667	0.833333333333333	-0.366666666666667
"WYM10"	0.416666666666667	0.636666666666667	-0.22
"WYM11"	0.37	0.656666666666667	-0.286666666666667
"WYM12"	0.363333333333333	0.596666666666667	-0.233333333333333
"WYM13"	0.403333333333333	0.65	-0.246666666666667
"WYM14"	0.39	0.493333333333333	-0.103333333333333
"WYM15"	0.55	0.6	-0.0499999999999999
"WYM16"	0.4	0.56	-0.16
"WYM17"	0.47	0.703333333333333	-0.233333333333333
"WYM18"	0.406666666666667	0.68	-0.273333333333333
"WYM19"	0.783333333333333	0.933333333333333	-0.15
"WYM20"	0.516666666666667	0.613333333333333	-0.0966666666666668
"WYM21"	0.156666666666667	0.2	-0.0433333333333333
"WYM22"	0.163333333333333	0.223333333333333	-0.06
"WYM23"	0.47	0.55	-0.0800000000000001
"WYM24"	0.406666666666667	0.536666666666667	-0.13
"WYM25"	0.176666666666667	0.23	-0.0533333333333333
"WYM26"	0.426666666666667	0.626666666666667	-0.2
"WYM27"	0.216666666666667	0.356666666666667	-0.14
"WYM28"	0.366666666666667	0.573333333333333	-0.206666666666667
"WYM29"	0.136666666666667	0.22	-0.0833333333333333
"WYM30"	0.46	0.543333333333333	-0.0833333333333333
"WYM31"	0.443333333333333	0.583333333333333	-0.14
"WYM32"	0.456666666666667	0.653333333333333	-0.196666666666667
"WYM33"	0.163333333333333	0.216666666666667	-0.0533333333333333
"WYM34"	0.666666666666667	0.743333333333333	-0.0766666666666668
"WYM35"	0.346666666666667	0.626666666666667	-0.28
"WYM36"	0.51	0.586666666666667	-0.0766666666666667
"WYM37"	0.433333333333333	0.626666666666667	-0.193333333333333
"WYM38"	0.34	0.403333333333333	-0.0633333333333333
"WYM39"	0.126666666666667	0.216666666666667	-0.09
"WYM40"	0.46	0.526666666666667	-0.0666666666666667
"WYM41"	0.523333333333333	0.593333333333333	-0.0700000000000001
"WYM42"	0.463333333333333	0.56	-0.0966666666666667
"WYM43"	0.5	0.623333333333333	-0.123333333333333
"WYM44"	0.48	0.483333333333333	-0.00333333333333335
"WYT01"	0.22	0.255	-0.035
"WYT02"	0.22	0.335	-0.115
"WYT03"	0.1975	0.3525	-0.155
"WYT04"	0.24	0.4025	-0.1625
"WYT05"	0.2375	0.4475	-0.21
"WYT06"	0.1975	0.445	-0.2475
"WYT07"	0.245	0.47	-0.225
"WYT08"	0.315	0.4925	-0.1775
"WYT09"	0.225	0.2725	-0.0475
"WYT10"	0.31	0.455	-0.145
"WYT100"	0.3975	0.605	-0.2075
"WYT101"	0.4275	0.6225	-0.195
"WYT102"	0.455	0.3975	0.0575
"WYT103"	0.55	0.6825	-0.1325
"WYT104"	0.45	0.5175	-0.0674999999999999
"WYT105"	0.5075	0.66	-0.1525
"WYT106"	0.4675	0.685	-0.2175
"WYT107"	0.39	0.645	-0.255
"WYT108"	0.305	0.5275	-0.2225
"WYT109"	0.375	0.5075	-0.1325
"WYT11"	0.2	0.08	0.12
"WYT110"	0.5075	0.4225	0.085
"WYT111"	0.44	0.61	-0.17
"WYT112"	0.55	0.735	-0.185
"WYT113"	0.365	0.45	-0.085
"WYT114"	0.4475	0.5375	-0.09
"WYT115"	0.4025	0.5725	-0.17
"WYT116"	0.134	0.232	-0.098
"WYT12"	0.123333333333333	0.253333333333333	-0.13
"WYT13"	0.2725	0.3925	-0.12
"WYT14"	0.175	0.3	-0.125
"WYT15"	0.165	0.383333333333333	-0.218333333333333
"WYT16"	0.235	0.475	-0.24
"WYT17"	0.21	0.22	-0.01
"WYT18"	0.3	0.14	0.16
"WYT19"	0.18	0.31	-0.13
"WYT20"	0.2525	0.395	-0.1425
"WYT21"	0.2425	0.3975	-0.155
"WYT22"	0.1825	0.31	-0.1275
"WYT23"	0.2	0.355	-0.155
"WYT24"	0.33	0.4525	-0.1225
"WYT25"	0.2325	0.205	0.0275
"WYT26"	0.195	0.295	-0.1
"WYT27"	0.29	0.2925	-0.0025
"WYT28"	0.2125	0.3375	-0.125
"WYT29"	0.26	0.355	-0.095
"WYT30"	0.1575	0.305	-0.1475
"WYT31"	0.205	0.325	-0.12
"WYT32"	0.14	0.22	-0.08
"WYT33"	0.2225	0.2075	0.015
"WYT34"	0.205	0.34	-0.135
"WYT35"	0.206666666666667	0.296666666666667	-0.09
"WYT36"	0.1875	0.35	-0.1625
"WYT37"	0.2325	0.4	-0.1675
"WYT38"	0.2225	0.42	-0.1975
"WYT39"	0.2425	0.4225	-0.18
"WYT40"	0.28	0.3975	-0.1175
"WYT41"	0.2675	0.305	-0.0375
"WYT42"	0.2375	0.3575	-0.12
"WYT43"	0.2675	0.34	-0.0725
"WYT44"	0.245	0.3575	-0.1125
"WYT45"	0.2375	0.425	-0.1875
"WYT46"	0.1725	0.3575	-0.185
"WYT47"	0.15	0.28	-0.13
"WYT48"	0.18	0.34	-0.16
"WYT49"	0.2325	0.2275	0.00499999999999998
"WYT50"	0.1875	0.33	-0.1425
"WYT51"	0.205	0.345	-0.14
"WYT52"	0.215	0.375	-0.16
"WYT53"	0.1775	0.3775	-0.2
"WYT54"	0.175	0.335	-0.16
"WYT55"	0.23	0.3725	-0.1425
"WYT56"	0.23	0.405	-0.175
"WYT57"	0.1775	0.205	-0.0275
"WYT58"	0.45	0.4675	-0.0175
"WYT59"	0.22	0.295	-0.075
"WYT60"	0.225	0.315	-0.09
"WYT61"	0.2225	0.4225	-0.2
"WYT62"	0.1975	0.245	-0.0475
"WYT63"	0.126666666666667	0.226666666666667	-0.1
"WYT64"	0.3225	0.53	-0.2075
"WYT65"	0.125	0.5425	-0.4175
"WYT66"	0.27	0.6475	-0.3775
"WYT67"	0.43	0.6675	-0.2375
"WYT68"	0.515	0.6525	-0.1375
"WYT69"	0.4475	0.6175	-0.17
"WYT70"	0.6075	0.5425	0.0650000000000001
"WYT71"	0.45	0.5175	-0.0674999999999999
"WYT72"	0.5575	0.675	-0.1175
"WYT73"	0.5325	0.54	-0.00750000000000006
"WYT74"	0.5925	0.665	-0.0725
"WYT75"	0.5	0.7	-0.2
"WYT76"	0.505	0.625	-0.12
"WYT77"	0.48	0.6475	-0.1675
"WYT78"	0.55	0.4425	0.1075
"WYT79"	0.4725	0.58	-0.1075
"WYT80"	0.6925	0.7675	-0.0750000000000001
"WYT81"	0.5325	0.635	-0.1025
"WYT82"	0.5975	0.6325	-0.0349999999999999
"WYT83"	0.5625	0.6925	-0.13
"WYT84"	0.5175	0.57	-0.0525000000000001
"WYT85"	0.4625	0.57	-0.1075
"WYT86"	0.445	0.2775	0.1675
"WYT87"	0.17	0.223333333333333	-0.0533333333333333
"WYT88"	0.52	0.525	-0.005
"WYT89"	0.385	0.54	-0.155
"WYT90"	0.53	0.53	0
"WYT91"	0.55	0.6425	-0.0925000000000001
"WYT92"	0.545	0.65	-0.105
"WYT93"	0.45	0.5275	-0.0775
"WYT94"	0.0966666666666667	0.183333333333333	-0.0866666666666667
"WYT95"	0.06	0.163333333333333	-0.103333333333333
"WYT96"	0.4425	0.5725	-0.13
"WYT97"	0.465	0.4475	0.0175
"WYT98"	0.163333333333333	0.24	-0.0766666666666667
"WYT99"	0.4925	0.6175	-0.125
