"mgCO2.7"	"mgCO2.14"	"difference"
"AE57"	0.156666666666667	0.243333333333333	-0.0866666666666667
"AE58"	0.13	0.103333333333333	0.0266666666666667
"AE59"	0.163333333333333	0.15	0.0133333333333333
"AE60"	0.223333333333333	0.186666666666667	0.0366666666666667
"AE61"	0.253333333333333	0.25	0.00333333333333335
"AE62"	0.16	0.126666666666667	0.0333333333333333
"AE63"	0.15	0.113333333333333	0.0366666666666667
"AE64"	0.226666666666667	0.17	0.0566666666666666
"AE65"	0.146666666666667	0.196666666666667	-0.05
"AE66"	0.26	0.243333333333333	0.0166666666666667
"AE67"	0.24	0.16	0.08
"AE68"	0.1	0.216666666666667	-0.116666666666667
"AE69"	0.25	0.196666666666667	0.0533333333333333
"AE70"	0.276666666666667	0.17	0.106666666666667
"AE71"	0.166666666666667	0.153333333333333	0.0133333333333333
"AE72"	0.26	0.153333333333333	0.106666666666667
"AE73"	0.156666666666667	0.196666666666667	-0.04
"AE74"	0.226666666666667	0.18	0.0466666666666667
"AE75"	0.14	0.103333333333333	0.0366666666666667
"AE76"	0.25	0.21	0.04
"AE77"	0.303333333333333	0.22	0.0833333333333333
"AE78"	0.26	0.173333333333333	0.0866666666666667
"AE79"	0.6175	0.5025	0.115
"AE80"	0.7225	0.75	-0.0275000000000001
"AE81"	0.525	0.4525	0.0725
"AE82"	0.66	0.5175	0.1425
"AE83"	0.48	0.5375	-0.0575
"AE84"	0.52	0.69	-0.17
"AE85"	0.74	0.43	0.31
"AE86"	0.6525	0.47	0.1825
"AE87"	0.505	0.46	0.045
"AE88"	0.5875	0.49	0.0975
"AE89"	0.5975	0.5225	0.0750000000000001
"AE90"	0.73	0.5225	0.2075
"AE91"	0.6425	0.6925	-0.05
"AE92"	0.5525	0.46	0.0925
"AE93"	0.525	0.4475	0.0775
"AE94"	0.56	0.47	0.09
"AE95"	0.143333333333333	0.143333333333333	0
"AE96"	0.5725	0.4775	0.095
"AE97"	0.22	0.153333333333333	0.0666666666666667
"AE98"	0.136666666666667	0.34	-0.203333333333333
"AE99"	0.635	0.5775	0.0575
"BB01"	0.15	0.17	-0.02
"BB02"	0.1975	0.375	-0.1775
"BB03"	0.11	0.19	-0.08
"BB04"	0.44	0.355	0.085
"BB05"	0.475	0.4075	0.0675
"BB06"	0.4325	0.3775	0.055
"BB07"	0.5175	0.5225	-0.005
"BB08"	0.2125	0.2525	-0.04
"BB09"	0.5775	0.405	0.1725
"BB10"	0.19	0.43	-0.24
"BB100"	0.0466666666666667	0.0566666666666667	-0.01
"BB11"	0.43	0.3375	0.0925
"BB12"	0.51	0.415	0.095
"BB13"	0.136666666666667	0.156666666666667	-0.02
"BB14"	0.32	0.2525	0.0675
"BB15"	0.3925	0.34	0.0525
"BB16"	0.1825	0.215	-0.0325
"BB17"	0.4525	0.325	0.1275
"BB18"	0.5275	0.3925	0.135
"BB19"	0.16	0.186666666666667	-0.0266666666666667
"BB20"	0.4175	0.34	0.0775
"BB21"	0.445	0.47	-0.025
"BB22"	0.12	0.173333333333333	-0.0533333333333333
"BB23"	0.37	0.2425	0.1275
"BB24"	0.375	0.3925	-0.0175
"BB25"	0.3525	0.2725	0.08
"BB26"	0.45	0.3625	0.0875
"BB27"	0.0633333333333333	0.08	-0.0166666666666667
"BB28"	0.0466666666666667	0.0666666666666667	-0.02
"BB29"	0.06	0.04	0.02
"BB30"	0.103333333333333	0.0733333333333333	0.03
"BB31"	0.06	0.06	0
"BB32"	0.06	0.0666666666666667	-0.00666666666666667
"BB33"	0.16	0.275	-0.115
"BB34"	0.025	0.265	-0.24
"BB35"	0.11	0.17	-0.06
"BB36"	0.0225	0.23	-0.2075
"BB37"	0.07	0.2325	-0.1625
"BB38"	0.0975	0.235	-0.1375
"BB39"	0.0825	0.23	-0.1475
"BB40"	0.0333333333333333	0.05	-0.0166666666666667
"BB41"	0.025	0.265	-0.24
"BB42"	0.113333333333333	0.13	-0.0166666666666667
"BB43"	0.13	0.245	-0.115
"BB44"	0.0825	0.2	-0.1175
"BB45"	0.045	0.2125	-0.1675
"BB46"	0.085	0.2625	-0.1775
"BB47"	0.025	0.3225	-0.2975
"BB48"	0.105	0.28	-0.175
"BB49"	0.015	0.1725	-0.1575
"BB50"	0.0675	0.1325	-0.065
"BB51"	0.1375	0.245	-0.1075
"BB52"	0.0533333333333333	0.0766666666666667	-0.0233333333333333
"BB53"	0.0525	0.21	-0.1575
"BB54"	0.1075	0.2425	-0.135
"BB55"	0.09	0.3075	-0.2175
"BB56"	0.0775	0.305	-0.2275
"BB57"	0.0666666666666667	0.0666666666666667	0
"BB58"	0.0466666666666667	0.0733333333333333	-0.0266666666666667
"BB59"	0.045	0.2425	-0.1975
"BB60"	0.0866666666666667	0.07	0.0166666666666667
"BB61"	0.0533333333333333	0.07	-0.0166666666666667
"BB62"	0.1025	0.2275	-0.125
"BB63"	0.0966666666666667	0.08	0.0166666666666667
"BB64"	0.02	0.225	-0.205
"BB65"	0.09	0.175	-0.085
"BB66"	0.136666666666667	0.176666666666667	-0.04
"BB67"	0.0275	0.225	-0.1975
"BB68"	0.125	0.33	-0.205
