"Group.1"	"x"
"207"	"BB27"	0.0633333333333333
"208"	"BB28"	0.0466666666666667
"209"	"BB29"	0.06
"210"	"BB30"	0.103333333333333
"211"	"BB31"	0.06
"212"	"BB32"	0.06
"213"	"BB33"	0.16
"214"	"BB34"	0.025
"215"	"BB35"	0.11
"216"	"BB36"	0.0225
"217"	"BB37"	0.07
"218"	"BB38"	0.0975
"219"	"BB39"	0.0825
"220"	"BB40"	0.0333333333333333
"221"	"BB41"	0.025
"222"	"BB42"	0.113333333333333
"223"	"BB43"	0.13
"224"	"BB44"	0.0825
"225"	"BB45"	0.045
"226"	"BB46"	0.085
"227"	"BB47"	0.025
"228"	"BB48"	0.105
"229"	"BB49"	0.015
"230"	"BB50"	0.0675
"231"	"BB51"	0.1375
"232"	"BB52"	0.0533333333333333
"233"	"BB53"	0.0525
"234"	"BB54"	0.1075
"235"	"BB55"	0.09
"236"	"BB56"	0.0775
"237"	"BB57"	0.0666666666666667
"238"	"BB58"	0.0466666666666667
"239"	"BB59"	0.045
"240"	"BB60"	0.0866666666666667
"241"	"BB61"	0.0533333333333333
"242"	"BB62"	0.1025
"243"	"BB63"	0.0966666666666667
"244"	"BB64"	0.02
"245"	"BB65"	0.09
"246"	"BB66"	0.136666666666667
"247"	"BB67"	0.0275
"248"	"BB68"	0.125
"249"	"BB69"	0.075
"250"	"BB70"	0.0925
"251"	"BB71"	0.025
"252"	"BB72"	0.0325
"253"	"BB73"	0.04
"254"	"BB74"	0.055
"255"	"BB75"	0.045
"256"	"BB76"	0.11
"257"	"BB77"	0.03
"258"	"BB78"	0.02
"259"	"BB79"	0.105
"260"	"BB80"	0.09
"261"	"BB81"	0.06
"262"	"BB82"	0.09
"263"	"BB83"	0.07
"264"	"BB84"	0.105
"265"	"BB85"	0.03
"266"	"BB86"	0.1425
"267"	"BB87"	0.065
"268"	"BB88"	0.116666666666667
"269"	"BB89"	0.1125
"270"	"BB90"	0.0275
"271"	"BB91"	0.055
"272"	"BB92"	0.0475
"273"	"BB93"	0.175
"274"	"BB94"	0.0475
"275"	"BB95"	0.0575
"276"	"BB96"	0.113333333333333
"277"	"BB97"	0.055
"278"	"BB98"	0.1125
"279"	"BB99"	0.055
"280"	"BCW01"	0.274
"281"	"BCW02"	0.46
"282"	"BCW03"	0.572
"283"	"BCW04"	0.464
"284"	"BCW05"	0.162
"285"	"BCW06"	0.26
"286"	"BCW07"	0.446
"287"	"BCW08"	0.212
"288"	"BCW09"	0.206
"289"	"BCW10"	0.338
"290"	"BCW11"	0.468
"291"	"BCW12"	0.378
"292"	"BCW13"	0.392
"293"	"BCW14"	0.186
"294"	"BCW15"	0.398
"295"	"BCW16"	0.418
"296"	"BCW17"	0.456
"297"	"BCW18"	0.398
"298"	"BCW19"	0.374
"299"	"BCW20"	0.482
"300"	"BCW21"	0.432
"301"	"BCW22"	0.236
"302"	"BCW23"	0.54
"303"	"BCW24"	0.482
"304"	"BCW25"	0.388
"305"	"BCW26"	0.37
"306"	"BW01"	0.925
"307"	"BW02"	0.9625
"308"	"BW03"	1.11
"309"	"BW04"	0.9625
"310"	"BW05"	0.8025
"311"	"BW06"	0.775
"312"	"BW07"	0.9625
"313"	"BW08"	1.0275
"314"	"BW09"	0.7325
"315"	"BW10"	0.9325
"316"	"BW11"	1.05
"317"	"BW12"	0.905
"318"	"BW13"	0.9175
"319"	"BW14"	0.9575
"320"	"BW15"	0.965
"321"	"BW16"	0.8175
"322"	"BW17"	0.79
"323"	"BW18"	0.73
"324"	"BW19"	0.7625
"325"	"BW20"	0.75
"326"	"BW21"	0.5425
"327"	"BW22"	0.7325
"328"	"BW23"	0.77
"329"	"BW24"	0.6875
"330"	"BWd01"	0.2875
"331"	"BWd02"	0.205
"332"	"BWd03"	0.23
"333"	"BWd04"	0.2025
"334"	"BWd05"	0.2225
"335"	"BWd06"	0.165
"336"	"BWd07"	0.19
